Rank,Time,Coin,Symbol,Price,Change in last 24h,Total vol(24h)
,12:38:55--11/21/22,Bitcoin,BTC,"£13,595.90",0.42%,"£24,845,105,119"
,12:38:56--11/21/22,Ethereum,ETH,£948.28,0.59%,"£9,651,464,071"
,12:38:56--11/21/22,Tether,USDT,£0.8462,0.12%,"£38,395,964,403"
,12:38:56--11/21/22,USD Coin,USDC,£0.8473,0.10%,"£4,829,979,613"
,12:38:56--11/21/22,BNB,BNB,£218.75,0.29%,"£791,165,869"
,12:38:57--11/21/22,Binance USD,BUSD,£0.8475,0.08%,"£6,669,406,876"
,12:38:57--11/21/22,XRP,XRP,£0.2954,0.66%,"£1,643,901,690"
,12:38:57--11/21/22,Cardano,ADA,£0.2585,0.26%,"£271,321,268"
,12:38:58--11/21/22,Dogecoin,DOGE,£0.06405,0.48%,"£505,419,391"
,12:38:58--11/21/22,Polygon,MATIC,£0.675,0.62%,"£403,512,923"
,12:38:58--11/21/22,Polkadot,DOT,£4.40,0.51%,"£196,597,932"
,12:38:58--11/21/22,Dai,DAI,£0.8472,0.11%,"£280,234,664"
,12:38:59--11/21/22,Shiba Inu,SHIB,£0.000007293,0.23%,"£144,583,697"
,12:38:59--11/21/22,TRON,TRX,£0.04286,0.12%,"£293,729,917"
,12:39:00--11/21/22,Litecoin,LTC,£50.79,0.39%,"£634,829,516"
,12:39:01--11/21/22,Solana,SOL,£10.00,0.04%,"£461,915,841"
,12:39:02--11/21/22,Uniswap,UNI,£4.52,0.29%,"£87,608,184"
,12:39:02--11/21/22,Wrapped Bitcoin,WBTC,"£13,566.51",0.45%,"£197,766,356"
,12:39:02--11/21/22,UNUS SED LEO,LEO,£3.29,0.13%,"£2,709,109"
,12:39:03--11/21/22,Avalanche,AVAX,£10.05,0.50%,"£130,974,618"
,12:39:03--11/21/22,Chainlink,LINK,£4.85,0.23%,"£240,342,846"
,12:39:05--11/21/22,Cosmos,ATOM,£7.67,0.56%,"£103,119,960"
,12:39:06--11/21/22,Ethereum Classic,ETC,£15.02,0.28%,"£206,139,374"
,12:39:07--11/21/22,Monero,XMR,£110.79,1.17%,"£64,368,183"
,12:39:07--11/21/22,Stellar,XLM,£0.07271,0.59%,"£58,239,827"
,12:39:08--11/21/22,Toncoin,TON,£1.48,0.30%,"£5,309,082"
,12:39:08--11/21/22,Bitcoin Cash,BCH,£86.73,0.21%,"£266,595,604"
