Rank,Time,Coin,Symbol,Price,Change in last 24h,Total vol(24h)
1,01:41:06--11/21/22,"Bitcoin
BTC",,"£ 13,655.04",-2.29%,£ 4.98 B
2,01:41:07--11/21/22,"Ethereum
ETH",,£ 955.99,-6.40%,£ 3.12 B
3,01:41:07--11/21/22,"BUSD
BUSD",,£ 0.8425,0.84%,£ 920.49 M
4,01:41:07--11/21/22,"Chiliz
CHZ",,£ 0.1649,-14.52%,£ 385.01 M
5,01:41:07--11/21/22,"XRP
XRP",,£ 0.3002,-8.22%,£ 360.72 M
6,01:41:07--11/21/22,"Tether
USDT",,£ 0.8411,0.19%,£ 310.04 M
7,01:41:08--11/21/22,"Binance Coin
BNB",,£ 219.69,-4.09%,£ 232.78 M
8,01:41:08--11/21/22,"SONM
SNM",,£ 1.245,-63.76%,£ 195.84 M
9,01:41:08--11/21/22,"Dogecoin
DOGE",,£ 0.06391,-9.92%,£ 199.80 M
10,01:41:08--11/21/22,"Polygon
MATIC",,£ 0.6671,-9.08%,£ 182.79 M
11,01:41:08--11/21/22,"DFI.money
YFII",,"£ 1,598.33",-46.52%,£ 181.94 M
12,01:41:09--11/21/22,"Solana
SOL",,£ 10.12,-5.51%,£ 130.02 M
13,01:41:09--11/21/22,"Serum
SRM",,£ 0.2334,35.03%,£ 115.53 M
14,01:41:09--11/21/22,"Litecoin
LTC",,£ 52.58,-1.90%,£ 112.03 M
15,01:41:10--11/21/22,"Algorand
ALGO",,£ 0.2138,-11.14%,£ 100.92 M
16,01:41:11--11/21/22,"Cardano
ADA",,£ 0.2607,-5.68%,£ 96.47 M
17,01:41:11--11/21/22,"USD Coin
USDC",,£ 0.8425,0.30%,£ 94.99 M
18,01:41:11--11/21/22,"League of Kingdoms
LOKA",,£ 0.3060,28.30%,£ 78.44 M
19,01:41:11--11/21/22,"Chainlink
LINK",,£ 4.850,-6.73%,£ 83.59 M
20,01:41:11--11/21/22,"Bonfida
FIDA",,£ 0.4907,159.55%,£ 70.00 M
21,01:41:12--11/21/22,"Everipedia
IQ",,£ 0.005641,2.80%,£ 71.41 M
22,01:41:12--11/21/22,"Bitcoin Cash
BCH",,£ 88.92,0.36%,£ 63.63 M
23,01:41:12--11/21/22,"Polkadot
DOT",,£ 4.419,-6.04%,£ 63.37 M
24,01:41:12--11/21/22,"Cream
CREAM",,£ 9.244,9.67%,£ 53.72 M
25,01:41:12--11/21/22,"TRON
TRX",,£ 0.04201,-3.91%,£ 56.67 M
26,01:41:12--11/21/22,"Terra Classic
LUNC",,£ 0.0001323,-8.95%,£ 50.57 M
27,01:41:13--11/21/22,"Cosmos
ATOM",,£ 7.732,-7.40%,£ 50.79 M
28,01:41:13--11/21/22,"Shiba Inu
SHIB",,£ 0.00000732,-4.63%,£ 49.99 M
29,01:41:13--11/21/22,"Near
NEAR",,£ 1.298,-10.74%,£ 48.79 M
30,01:41:13--11/21/22,"Mask Network
MASK",,£ 2.082,-14.46%,£ 48.09 M
31,01:41:13--11/21/22,"Hashflow
HFT",,£ 0.4452,-3.60%,£ 43.34 M
32,01:41:14--11/21/22,"Ambrosus
AMB",,£ 0.009696,-12.18%,£ 42.84 M
33,01:41:14--11/21/22,"ApeCoin
APE",,£ 2.528,-8.37%,£ 40.40 M
34,01:41:14--11/21/22,"Ethereum Classic
ETC",,£ 15.14,-7.85%,£ 39.19 M
35,01:41:14--11/21/22,"UniLend Finance
UFT",,£ 0.2360,-10.98%,£ 37.95 M
36,01:41:14--11/21/22,"Aptos
APT",,£ 3.398,-11.70%,£ 37.59 M
37,01:41:15--11/21/22,"Trust Wallet Token
TWT",,£ 1.639,-5.71%,£ 38.68 M
38,01:41:15--11/21/22,"FileCoin
FIL",,£ 3.510,-5.39%,£ 35.09 M
39,01:41:16--11/21/22,"Uniswap Protocol Token
UNI",,£ 4.547,-6.70%,£ 34.29 M
40,01:41:16--11/21/22,"dYdX
DYDX",,£ 1.457,-16.65%,£ 38.86 M
41,01:41:16--11/21/22,"Monero
XMR",,£ 109.38,-2.54%,£ 33.68 M
42,01:41:16--11/21/22,"Avalanche
AVAX",,£ 10.12,-6.86%,£ 32.93 M
43,01:41:16--11/21/22,"MovieBloc
MBL",,£ 0.002172,-9.71%,£ 31.91 M
44,01:41:17--11/21/22,"iExec
RLC",,£ 0.8789,20.75%,£ 31.45 M
45,01:41:17--11/21/22,"Aave
AAVE",,£ 47.50,-4.62%,£ 30.63 M
46,01:41:17--11/21/22,"VIDT Datalink
VIDT",,£ 0.01942,14.70%,£ 30.11 M
47,01:41:18--11/21/22,"SafePal
SFP",,£ 0.4168,-11.91%,£ 27.85 M
48,01:41:18--11/21/22,"STEPN
GMT",,£ 0.3121,-8.74%,£ 27.31 M
49,01:41:18--11/21/22,"The Sandbox
SAND",,£ 0.4536,-9.37%,£ 27.13 M
50,01:41:18--11/21/22,"VITE
VITE",,£ 0.02205,-0.94%,£ 27.28 M
51,01:41:19--11/21/22,"Polymath Network
POLY",,£ 0.1744,-18.13%,£ 27.09 M
52,01:41:19--11/21/22,"Wrapped Bitcoin
WBTC",,"£ 13,596.66",-2.33%,£ 27.64 M
53,01:41:19--11/21/22,"Decentraland
MANA",,£ 0.3206,-8.70%,£ 24.76 M
54,01:41:20--11/21/22,"EOS
EOS",,£ 0.7346,-3.45%,£ 24.02 M
55,01:41:20--11/21/22,"Terra
LUNA",,£ 1.278,-8.81%,£ 23.11 M
56,01:41:20--11/21/22,"AERGO
AERGO",,£ 0.09706,-4.13%,£ 22.98 M
57,01:41:20--11/21/22,"Sushi
SUSHI",,£ 0.9840,-4.00%,£ 22.81 M
58,01:41:21--11/21/22,"Waves
WAVES",,£ 1.799,-9.04%,£ 22.35 M
59,01:41:21--11/21/22,"Cronos
CRO",,£ 0.05444,-7.27%,£ 22.13 M
60,01:41:21--11/21/22,"Optimism
OP",,£ 0.7012,-10.63%,£ 21.91 M
61,01:41:21--11/21/22,"AhaToken
AHT",,£ 0.004370,4.23%,£ 21.88 M
62,01:41:21--11/21/22,"Axie Infinity Shards
AXS",,£ 5.418,-9.09%,£ 21.28 M
63,01:41:22--11/21/22,"Zilliqa
ZIL",,£ 0.01756,-8.04%,£ 21.12 M
64,01:41:22--11/21/22,"Voxies
VOXEL",,£ 0.1585,3.71%,£ 20.90 M
65,01:41:22--11/21/22,"Auto
AUTO",,£ 172.26,12.90%,£ 21.79 M
66,01:41:22--11/21/22,"yearn.finance
YFI",,"£ 5,115.33",-6.00%,£ 20.50 M
67,01:41:22--11/21/22,"Curve DAO Token
CRV",,£ 0.4320,-5.88%,£ 20.27 M
68,01:41:23--11/21/22,"Raydium
RAY",,£ 0.1728,21.99%,£ 19.59 M
69,01:41:23--11/21/22,"Kyber Network Crystal v2
KNC",,£ 0.4841,-6.43%,£ 19.52 M
70,01:41:23--11/21/22,"Internet Computer
ICP",,£ 3.000,-10.71%,£ 18.73 M
71,01:41:23--11/21/22,"Storj
STORJ",,£ 0.2650,-3.87%,£ 17.59 M
72,01:41:23--11/21/22,"Kava
KAVA",,£ 0.6888,-5.68%,£ 17.06 M
73,01:41:24--11/21/22,"Gala
GALA",,£ 0.02152,-7.07%,£ 15.97 M
74,01:41:24--11/21/22,"Stellar
XLM",,£ 0.07222,-5.57%,£ 15.89 M
75,01:41:24--11/21/22,"JasmyCoin
JASMY",,£ 0.003252,-5.02%,£ 14.80 M
76,01:41:24--11/21/22,"Unifi Protocol DAO
UNFI",,£ 3.384,-6.85%,£ 14.43 M
77,01:41:25--11/21/22,"Ontology Gas
ONGAS",,£ 0.2070,-7.02%,£ 14.41 M
78,01:41:25--11/21/22,"Siacoin
SC",,£ 0.002123,-8.04%,£ 14.20 M
79,01:41:25--11/21/22,"Threshold Network Token
T",,£ 0.01469,-9.08%,£ 16.49 M
80,01:41:25--11/21/22,"ssv.network
SSV",,£ 9.215,8.54%,£ 14.25 M
